gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5135731,Liver MPS co-culture tissue,Lean_TGF-B_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_TGF-B_Cholesterol,SRA,Liver_MPS_Lean_TGF-B_Cholesterol,,,NAFT18014_P2A2_D14_98_S12
GSM5135732,Liver MPS co-culture tissue,Fat_TGF-B_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_TGF-B_Cholesterol,SRA,Liver_MPS_Fat_TGF-B_Cholesterol,,,NAFT18014_P2A6_D14_102_S15
GSM5135733,Liver MPS co-culture tissue,Fat_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_Cholesterol,SRA,Liver_MPS_Fat_Cholesterol,,,NAFT18014_P2B4_D14_106_S18
GSM5135734,Liver MPS co-culture tissue,Reduced_NPC_Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean,SRA,Liver_MPS_Reduced_NPC_Lean,,,NAFT18014_P3A2_D14_110_S21
GSM5135735,Liver MPS co-culture tissue,Reduced_NPC_Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat,SRA,Liver_MPS_Reduced_NPC_Fat,,,NAFT18014_P3A6_D14_114_S24
GSM5135736,Liver MPS co-culture tissue,Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean,SRA,Liver_MPS_Lean,,,NAFT18013_P1A1_D14_01_rep_S12
GSM5135737,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_Fructose_Cholesterol,,,NAFT18013_P4A3_D14_39_rep_S13
GSM5135738,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_LPS_Cholesterol,,,NAFT18014_P3B3_D14_117_S1
GSM5135739,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Fat_LPS_Cholesterol,,,NAFT18014_P3B6_D14_120_S2
GSM5135740,Liver MPS co-culture tissue,Reduced_NPC_Lean_TGF-B_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_TGF-B_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_TGF-B_Cholesterol,,,NAFT18014_P4A3_D14_123_S3
GSM5135741,Liver MPS co-culture tissue,Reduced_NPC_Fat_TGF-B_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_TGF-B_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Fat_TGF-B_Cholesterol,,,NAFT18014_P4A6_D14_126_S4
GSM5135742,Liver MPS co-culture tissue,Reduced_NPC_Lean_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_Cholesterol,,,NAFT18014_P4B3_D14_129_S5
GSM5135743,Liver MPS co-culture tissue,Reduced_NPC_Fat_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Fat_Cholesterol,,,NAFT18014_P4B6_D14_132_S6
GSM5135744,Liver MPS co-culture tissue,Lean_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Lean_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5A3_D14_135_S7
GSM5135745,Liver MPS co-culture tissue,Fat_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Fat_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5A6_D14_138_S8
GSM5135746,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5B3_D14_141_S9
GSM5135747,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Fat_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5B6_D14_144_S10
GSM5135748,Liver MPS co-culture tissue,Reduced_NPC_Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean,SRA,Liver_MPS_Reduced_NPC_Lean,,,NAFT18015_P1B3_D14_153_S11
