gsm,canon__sex,canon__stage,canon__steatosis_grade,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__Stage,raw__balloning,raw__cell line,raw__cell type,raw__chip antibody,raw__fibrosis nas_tidy,raw__genotype,raw__lobular inflammation,raw__lobular necrosis,raw__steatosis,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8260250,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510422,,VVI446_nor_H3K27ac_cutrun
GSM8260251,F,NASH_F0,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510423,,SEG748_nash_f0_H3K27ac_cutrun
GSM8260252,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510424,,OQG452_nafl_H3K27ac_cutrun
GSM8260253,F,NASH_F1,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,1,1,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510425,,CQW242_nash_f1_H3K27ac_cutrun
GSM8260254,M,NASH_F0,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F0,1,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510426,,YFH298_nash_f0_H3K27ac_cutrun
GSM8260255,M,NASH_F23,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F23,1,,,H3K27ac,3,,2,2,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510427,,WRY133_nash_f23_H3K27ac_cutrun
GSM8260256,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510428,,DWS954_nor_H3K27ac_cutrun
GSM8260257,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510429,,OTW294_nor_H3K27ac_cutrun
GSM8260258,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510430,,UHL541_nafl_H3K27ac_cutrun
GSM8260259,F,NASH_F0,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,2,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510431,,QTB333_nash_f0_H3K27ac_cutrun
GSM8260260,F,NASH_F23,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,2,,,H3K27ac,2,,2,1,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510432,,XYG500_nash_f23_H3K27ac_cutrun
